date,mean_compound_reuters,mean_compound_guardian,mean_compound_cnbc,mean_compound_other,mean_compound_twitter,Adj Close
2015/10/26,0.0,0.0,0.0,0.0,0.1480487031700288,30.430500030517575
2015/10/27,0.0,0.0,0.0,0.0,0.0962076433121019,30.550500869750977
2015/10/28,0.0,0.0,0.0,0.0,0.0123069469835466,30.854999542236328
2015/10/29,0.0,0.0,0.0,0.0,0.0883395348837209,31.32749938964844
2015/10/30,0.0,0.0,0.0,0.0,0.1290183823529411,31.295000076293945
2015/11/02,0.0,0.0,0.0,0.0,0.1074274509803921,31.417499542236328
2015/11/03,0.0,0.0,0.0,0.0,0.205830623306233,31.26549911499023
2015/11/04,0.0,0.0,0.0,0.0,0.1511745263157894,32.04750061035156
2015/11/05,0.0,0.0,0.0,0.1779,0.1086015625,32.782501220703125
2015/11/06,0.0,0.0,0.0,0.0,0.1269525333333333,32.96849822998047
2015/11/09,0.0,0.0,0.0,0.0,0.0969383233532934,32.77450180053711
2015/11/10,0.0,0.0,0.0,0.0,0.159807250755287,32.98400115966797
2015/11/11,0.0,0.0,0.0,0.0,0.137520826709062,33.662498474121094
2015/11/12,0.0,0.0,0.0,0.0,0.1209267734553775,33.279998779296875
2015/11/13,0.0,0.0,0.0,0.0,0.0894982926829268,32.11750030517578
2015/11/16,0.0,0.0,0.0,0.0,0.1254256972111553,32.390499114990234
2015/11/17,0.0,0.0,0.0,0.0,0.1255246031746031,32.165000915527344
2015/11/18,0.0,0.0,0.0,0.0,0.1476403846153846,33.176998138427734
2015/11/19,0.0,0.0,0.0,0.0,0.1297986522911051,33.063499450683594
2015/11/20,0.0,0.0,0.0,0.0,0.1308443864229765,33.42250061035156
2015/11/23,0.0,0.0,0.0,0.0,0.1024136490250696,33.949501037597656
2015/11/24,0.0,0.0,0.0,0.0489333333333333,0.1192033333333333,33.557498931884766
2015/11/25,0.0,0.0,0.0,0.5574,0.0807439024390244,33.766998291015625
2015/11/27,0.0,0.0,0.0,0.0,0.127544,33.66299819946289
2015/11/30,0.0,0.0,0.0,0.29092,0.1639204081632653,33.2400016784668
2015/12/01,0.0,0.0,0.0,0.1998,0.1375329479768786,33.952999114990234
