Date,Close/Last,Volume,Open,High,Low,Scores
03/07/2019,55.318,47053485,55.768,56.94,54.85,0.2267
03/08/2019,56.828,44028860,55.382,57.118,55.178,0.0
03/11/2019,58.184,36861490,56.704,58.256,56.1,-0.2166
03/12/2019,56.672,37440185,57.298,57.614,56.212,0.0427
03/13/2019,57.792,34089270,56.78,58.398,56.54,0.1700
03/14/2019,57.992,35240690,58.49,59.078,57.658,-0.0903
03/15/2019,55.086,73786800,56.702,56.7449,54.88,-0.0427
03/18/2019,53.898,51324800,55.2,55.61,53.46,-0.1189
03/19/2019,53.494,58871650,53.5,54.66,52.692,-0.2553
03/20/2019,54.72,34409880,53.938,54.994,53.26,0.5106
03/21/2019,54.804,29654625,54.52,55.29,53.69,0.0000
03/22/2019,52.906,43609750,54.516,54.56,52.8,-0.4623
03/25/2019,52.084,51025400,51.942,52.636,50.892,0.1071
03/26/2019,53.554,36709340,52.888,54.052,52.886,-0.0566
03/27/2019,54.966,43761920,53.75,55.074,53.6368,0.0000
03/28/2019,55.724,33824605,55.432,56.066,55.02,0.0000
03/29/2019,55.972,29901775,55.74,56.032,54.9,-0.2553
04/01/2019,57.836,40465670,56.524,57.84,56.2562,0.0306
04/02/2019,57.176,27135920,57.66,57.888,56.776,0.0740
04/03/2019,58.362,39583250,57.464,59.234,57.434,0.0000
04/04/2019,53.556,118400850,52.378,54.24,52.118,-0.0421
04/05/2019,54.992,65113700,53.972,55.22,53.222,0.1480
04/08/2019,54.64,51823000,55.538,56.232,54.088,-0.0209
04/09/2019,54.462,29466235,54.33,55,53.922,0.0
04/10/2019,55.212,35225170,55.348,55.676,54.5785,0.6331
04/11/2019,53.684,48906470,53.66,54.1,53.12,-0.0647
04/12/2019,53.54,33676930,54.044,54.39,53.366,-0.1280
04/15/2019,53.276,50162450,53.726,53.776,51.726,0.0000
04/16/2019,54.672,36332520,53.15,55,52.944,0.0000
04/17/2019,54.246,25590055,54.95,54.958,53.707,0.0926
04/18/2019,54.652,29307390,54.246,54.968,53.95,-0.1053
04/22/2019,52.55,60508450,53.8,53.936,52.496,0.0301
04/23/2019,52.78,54546750,52.03,53.12,51.15,0.1366
04/24/2019,51.732,48285305,52.77,53.064,51.6,-0.0182
04/25/2019,49.526,109116900,51,51.8,49.214,0.0193
04/26/2019,47.028,110755800,49.3,49.336,46.226,0.2966
